date,expiry,symbol,contractSymbol,type,inTheMoney,strike,bid,ask,last,underlying,iv_mkt,rate,div_yield,volume,openInterest,lastTradeDate,quote_age_hours,mid,T
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00080000,call,True,80.0,50.9,54.6,49.85,130.0399932861328,3.0605492236328127,0.03529957336092666,0.0,1.0,4.0,2025-12-09 19:35:41+00:00,25.405277777777776,52.75,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00090000,call,True,90.0,40.9,44.6,42.8,130.0399932861328,2.4335976660156247,0.03529957336092666,0.0,1.0,7.0,2025-12-10 15:04:00+00:00,5.933333333333334,42.75,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00095000,call,True,95.0,35.9,39.6,37.85,130.0399932861328,2.1425827685546874,0.03529957336092666,0.0,2.0,2.0,2025-12-10 15:04:00+00:00,5.933333333333334,37.75,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00100000,call,True,100.0,31.1,34.6,30.61,130.0399932861328,1.9521486767578127,0.03529957336092666,0.0,1.0,4.0,2025-12-09 18:18:38+00:00,26.689444444444444,32.85,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00105000,call,True,105.0,26.1,29.6,26.28,130.0399932861328,1.671876640625,0.03529957336092666,0.0,4.0,5.0,2025-12-10 18:44:58+00:00,2.2505555555555556,27.85,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00109000,call,True,109.0,22.0,25.6,22.81,130.0399932861328,1.4169951025390626,0.03529957336092666,0.0,3.0,2.0,2025-12-10 15:58:41+00:00,5.021944444444444,23.8,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00110000,call,True,110.0,21.0,24.6,21.82,130.0399932861328,1.36328443359375,0.03529957336092666,0.0,4.0,7.0,2025-12-10 15:58:41+00:00,5.021944444444444,22.8,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00111000,call,True,111.0,20.8,22.5,16.6,130.0399932861328,1.197269638671875,0.03529957336092666,0.0,2.0,1.0,2025-12-02 15:44:54+00:00,197.25166666666667,21.65,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00113000,call,True,113.0,18.8,21.1,17.15,130.0399932861328,1.2949254003906248,0.03529957336092666,0.0,5.0,6.0,2025-12-09 17:14:04+00:00,27.765555555555554,19.950000000000003,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00114000,call,True,114.0,17.0,20.6,17.89,130.0399932861328,1.15234798828125,0.03529957336092666,0.0,1.0,3.0,2025-12-10 19:22:13+00:00,1.6297222222222223,18.8,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00115000,call,True,115.0,16.2,19.7,16.97,130.0399932861328,1.18359783203125,0.03529957336092666,0.0,3.0,8.0,2025-12-10 19:22:13+00:00,1.6297222222222223,17.95,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00116000,call,True,116.0,15.2,18.6,16.66,130.0399932861328,1.1025435498046878,0.03529957336092666,0.0,2.0,4.0,2025-12-10 18:17:41+00:00,2.705277777777778,16.9,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00117000,call,True,117.0,14.8,16.7,15.25,130.0399932861328,0.9648441015625,0.03529957336092666,0.0,2.0,33.0,2025-12-08 16:24:13+00:00,52.59638888888889,15.75,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00118000,call,True,118.0,13.8,15.8,8.88,130.0399932861328,0.9414068359375,0.03529957336092666,0.0,1.0,7.0,2025-11-25 15:22:25+00:00,365.62638888888887,14.8,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00119000,call,True,119.0,12.2,15.5,13.25,130.0399932861328,0.914063359375,0.03529957336092666,0.0,1.0,4.0,2025-12-10 15:43:30+00:00,5.275,13.85,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00120000,call,True,120.0,11.4,13.5,12.85,130.0399932861328,0.5918009570312501,0.03529957336092666,0.0,9.0,72.0,2025-12-10 15:43:30+00:00,5.275,12.45,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00121000,call,True,121.0,11.3,13.1,9.13,130.0399932861328,0.9511723632812499,0.03529957336092666,0.0,1.0,40.0,2025-12-09 19:35:41+00:00,25.405277777777776,12.2,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00122000,call,True,122.0,9.2,12.8,11.55,130.0399932861328,0.8149432568359375,0.03529957336092666,0.0,3.0,31.0,2025-12-10 16:52:38+00:00,4.122777777777777,11.0,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00123000,call,True,123.0,9.4,10.8,7.59,130.0399932861328,0.7949239257812499,0.03529957336092666,0.0,1.0,20.0,2025-12-09 19:41:14+00:00,25.31277777777778,10.100000000000001,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00124000,call,True,124.0,7.3,11.0,8.55,130.0399932861328,0.7524438818359375,0.03529957336092666,0.0,2.0,119.0,2025-12-10 15:43:06+00:00,5.281666666666666,9.15,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00125000,call,True,125.0,6.8,9.6,7.75,130.0399932861328,0.7070341796875,0.03529957336092666,0.0,3.0,138.0,2025-12-10 15:43:06+00:00,5.281666666666666,8.2,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00126000,call,True,126.0,6.4,8.1,6.35,130.0399932861328,0.6596713720703126,0.03529957336092666,0.0,3.0,73.0,2025-12-10 19:44:39+00:00,1.2558333333333334,7.25,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00127000,call,True,127.0,5.5,7.2,6.02,130.0399932861328,0.62305064453125,0.03529957336092666,0.0,3.0,99.0,2025-12-10 15:20:20+00:00,5.661111111111111,6.35,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00128000,call,True,128.0,5.1,6.6,5.95,130.0399932861328,0.6821320849609377,0.03529957336092666,0.0,16.0,180.0,2025-12-10 20:03:36+00:00,0.94,5.85,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00129000,call,True,129.0,4.4,4.8,5.1,130.0399932861328,0.5459029785156251,0.03529957336092666,0.0,7.0,175.0,2025-12-10 18:21:18+00:00,2.645,4.6,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00130000,call,True,130.0,3.7,4.1,4.6,130.0399932861328,0.5371140039062501,0.03529957336092666,0.0,72.0,362.0,2025-12-10 20:10:20+00:00,0.8277777777777777,3.9,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00131000,call,True,131.0,3.1,3.5,3.45,130.0399932861328,0.5380905566406251,0.03529957336092666,0.0,145.0,579.0,2025-12-10 20:53:46+00:00,0.10388888888888889,3.3,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00132000,call,True,132.0,2.55,2.9,2.82,130.0399932861328,0.5317429638671876,0.03529957336092666,0.0,250.0,847.0,2025-12-10 20:54:47+00:00,0.08694444444444445,2.7249999999999996,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00133000,call,False,133.0,1.9,2.7,2.44,130.0399932861328,0.5434615966796876,0.03529957336092666,0.0,145.0,681.0,2025-12-10 20:47:12+00:00,0.21333333333333335,2.3,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00134000,call,False,134.0,1.5,1.9,1.96,130.0399932861328,0.5048877636718749,0.03529957336092666,0.0,63.0,288.0,2025-12-10 20:29:09+00:00,0.5141666666666667,1.7,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00135000,call,False,135.0,1.1,1.5,1.34,130.0399932861328,0.5400436621093752,0.03529957336092666,0.0,311.0,1023.0,2025-12-10 20:59:57+00:00,0.0008333333333333334,1.3,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00136000,call,False,136.0,0.75,1.2,1.1,130.0399932861328,0.5419967675781252,0.03529957336092666,0.0,80.0,276.0,2025-12-10 20:43:45+00:00,0.2708333333333333,0.975,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00137000,call,False,137.0,0.7,0.95,0.8,130.0399932861328,0.5102588037109376,0.03529957336092666,0.0,72.0,366.0,2025-12-10 20:41:53+00:00,0.30194444444444446,0.825,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00138000,call,False,138.0,0.35,0.75,0.68,130.0399932861328,0.5473678076171876,0.03529957336092666,0.0,96.0,256.0,2025-12-10 20:18:20+00:00,0.6944444444444444,0.55,0.0027397260273972603
2025-12-10 21:00:00+00:00,2025-12-12 00:00:00+00:00,ANET,ANET251212C00139000,call,False,139.0,0.2,0.6,0.5,130.0399932861328,0.5556685058593751,0.03529957336092666,0.0,423.0,890.0,2025-12-10 20:47:27+00:00,0.20916666666666667,0.4,0.0027397260273972603
