date,expiry,symbol,contractSymbol,type,inTheMoney,strike,bid,ask,last,underlying,iv_mkt,rate,div_yield,volume,openInterest,lastTradeDate,quote_age_hours,mid,T
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00260000,call,True,260.0,232.95,235.75,245.45,507.489990234375,2.824221689453125,0.0370259995532744,0.006542000953490173,1.0,5,2025-11-12 16:05:08+00:00,148.91444444444446,234.35,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00265000,call,True,265.0,228.0,230.75,244.89,507.489990234375,2.7656280859375,0.0370259995532744,0.006542000953490173,5.0,1,2025-11-14 20:59:55+00:00,96.00138888888888,229.375,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00270000,call,True,270.0,223.0,225.75,223.0,507.489990234375,2.690432961425781,0.0370259995532744,0.006542000953490173,2.0,15,2025-11-18 18:10:54+00:00,2.8183333333333334,224.375,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00275000,call,True,275.0,218.0,220.75,244.9,507.489990234375,2.616214396972657,0.0370259995532744,0.006542000953490173,9.0,9,2025-10-31 13:57:08+00:00,439.04777777777775,219.375,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00280000,call,True,280.0,212.9,215.75,224.52,507.489990234375,2.5117224707031247,0.0370259995532744,0.006542000953490173,5.0,7,2025-11-13 19:31:31+00:00,121.47472222222223,214.325,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00290000,call,True,290.0,203.0,205.75,218.0,507.489990234375,2.4023477441406245,0.0370259995532744,0.006542000953490173,1.0,13,2025-11-14 18:39:53+00:00,98.33527777777778,204.375,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00300000,call,True,300.0,192.8,195.75,211.3,507.489990234375,2.205082612304687,0.0370259995532744,0.006542000953490173,8.0,12,2025-11-13 16:00:44+00:00,124.98777777777778,194.275,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00305000,call,True,305.0,0.0,0.0,207.5,507.489990234375,1.0000000000000003e-05,0.0370259995532744,0.006542000953490173,,1,2025-08-19 19:50:00+00:00,2185.1666666666665,0.0,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00310000,call,True,310.0,182.8,185.75,186.12,507.489990234375,2.0742235644531246,0.0370259995532744,0.006542000953490173,15.0,38,2025-10-31 13:57:22+00:00,439.0438888888889,184.275,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00315000,call,True,315.0,177.95,180.75,189.59,507.489990234375,2.053715803222656,0.0370259995532744,0.006542000953490173,1.0,2,2025-11-10 18:28:27+00:00,194.52583333333334,179.35,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00320000,call,True,320.0,172.8,175.75,185.4,507.489990234375,1.9482424462890626,0.0370259995532744,0.006542000953490173,1.0,7,2025-11-12 18:14:01+00:00,146.76638888888888,174.275,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00325000,call,True,325.0,167.8,170.75,192.37,507.489990234375,1.88671931640625,0.0370259995532744,0.006542000953490173,1.0,0,2025-10-31 16:18:35+00:00,436.6902777777778,169.275,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00330000,call,True,330.0,162.8,165.75,167.75,507.489990234375,1.8251961865234374,0.0370259995532744,0.006542000953490173,1.0,1,2025-11-18 14:30:04+00:00,6.498888888888889,164.275,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00340000,call,True,340.0,152.8,155.75,148.99,507.489990234375,1.705079599609375,0.0370259995532744,0.006542000953490173,5.0,28,2025-11-17 20:06:09+00:00,24.8975,154.275,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00345000,call,True,345.0,147.8,150.75,175.05,507.489990234375,1.646486142578125,0.0370259995532744,0.006542000953490173,8.0,28,2025-10-31 13:57:08+00:00,439.04777777777775,149.275,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00350000,call,True,350.0,142.95,145.3,142.3,507.489990234375,1.505861845703125,0.0370259995532744,0.006542000953490173,1.0,82,2025-11-18 16:37:42+00:00,4.371666666666667,144.125,0.005479452054794521
2025-11-18 21:00:00+00:00,2025-11-21 00:00:00+00:00,MSFT,MSFT251121C00355000,call,True,355.0,137.8,140.75,143.21,507.489990234375,1.5312523437499999,0.0370259995532744,0.006542000953490173,7.0,10,2025-11-06 20:55:11+00:00,288.0802777777778,139.275,0.005479452054794521
