date,expiry,symbol,contractSymbol,type,inTheMoney,strike,bid,ask,last,underlying,iv_mkt,rate,div_yield,volume,openInterest,lastTradeDate,quote_age_hours,mid,T
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00035000,call,True,35.0,129.7,131.2,129.62,167.3300018310547,6.093752382812499,0.0370259995532744,0.0,54.0,3628,2025-11-19 17:52:39+00:00,3.1225,130.45,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00037500,call,True,37.5,126.65,128.1,127.16,167.3300018310547,7.125001093750001,0.0370259995532744,0.0,48.0,125,2025-11-19 20:00:36+00:00,0.99,127.375,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00040000,call,True,40.0,124.6,125.65,124.72,167.3300018310547,7.054688681640625,0.0370259995532744,0.0,55.0,968,2025-11-19 20:00:36+00:00,0.99,125.125,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00042500,call,True,42.5,122.2,123.2,122.6,167.3300018310547,6.9453138183593754,0.0370259995532744,0.0,41.0,120,2025-11-19 20:12:58+00:00,0.7838888888888889,122.7,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00045000,call,True,45.0,119.5,120.6,119.11,167.3300018310547,6.2734396582031255,0.0370259995532744,0.0,44.0,164,2025-11-19 20:49:26+00:00,0.1761111111111111,120.05,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00047500,call,True,47.5,116.7,118.1,116.55,167.3300018310547,6.023439970703125,0.0370259995532744,0.0,62.0,170,2025-11-19 17:51:47+00:00,3.1369444444444445,117.4,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00050000,call,True,50.0,114.6,116.55,115.38,167.3300018310547,5.671877910156249,0.0370259995532744,0.0,86.0,465,2025-11-19 20:30:35+00:00,0.49027777777777776,115.57499999999999,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00055000,call,True,55.0,109.55,110.55,109.67,167.3300018310547,5.12500359375,0.0370259995532744,0.0,36.0,471,2025-11-19 19:59:49+00:00,1.0030555555555556,110.05,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00060000,call,True,60.0,104.5,105.65,104.75,167.3300018310547,5.117191103515625,0.0370259995532744,0.0,59.0,804,2025-11-19 19:59:49+00:00,1.0030555555555556,105.075,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00065000,call,True,65.0,99.15,101.6,100.47,167.3300018310547,6.248049064941406,0.0370259995532744,0.0,44.0,350,2025-11-19 20:27:58+00:00,0.5338888888888889,100.375,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00070000,call,True,70.0,94.0,96.35,94.96,167.3300018310547,5.531253085937499,0.0370259995532744,0.0,29.0,629,2025-11-19 16:42:54+00:00,4.285,95.175,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00072500,call,True,72.5,91.45,94.45,94.27,167.3300018310547,3.3125017187499997,0.0370259995532744,0.0,30.0,275,2025-11-19 16:11:06+00:00,4.815,92.95,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00075000,call,True,75.0,89.95,91.05,90.43,167.3300018310547,3.5468761328125,0.0370259995532744,0.0,36.0,465,2025-11-19 20:37:59+00:00,0.36694444444444446,90.5,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00077500,call,True,77.5,87.4,88.85,86.82,167.3300018310547,3.843750390625,0.0370259995532744,0.0,6.0,276,2025-11-19 17:50:30+00:00,3.158333333333333,88.125,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00080000,call,True,80.0,84.95,86.6,85.2,167.3300018310547,4.01562998046875,0.0370259995532744,0.0,42.0,1958,2025-11-19 20:42:52+00:00,0.28555555555555556,85.775,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00082500,call,True,82.5,81.4,84.45,82.61,167.3300018310547,2.3750040624999995,0.0370259995532744,0.0,19.0,287,2025-11-19 19:57:04+00:00,1.048888888888889,82.92500000000001,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00085000,call,True,85.0,79.9,80.95,80.38,167.3300018310547,2.3125042187499996,0.0370259995532744,0.0,30.0,811,2025-11-19 20:31:38+00:00,0.4727777777777778,80.42500000000001,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00087500,call,True,87.5,76.75,79.45,77.6,167.3300018310547,3.2226581933593748,0.0370259995532744,0.0,34.0,456,2025-11-19 20:54:21+00:00,0.09416666666666666,78.1,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00090000,call,True,90.0,74.2,76.2,74.17,167.3300018310547,3.9394532763671872,0.0370259995532744,0.0,19.0,668,2025-11-19 18:19:36+00:00,2.6733333333333333,75.2,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00092500,call,True,92.5,72.0,73.9,73.05,167.3300018310547,2.3906290234374996,0.0370259995532744,0.0,1.0,507,2025-11-19 18:19:06+00:00,2.6816666666666666,72.95,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00095000,call,True,95.0,69.1,71.5,70.1,167.3300018310547,3.886719033203125,0.0370259995532744,0.0,5.0,680,2025-11-19 20:45:58+00:00,0.2338888888888889,70.3,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00097500,call,True,97.5,66.75,69.1,67.84,167.3300018310547,1.875000625,0.0370259995532744,0.0,2.0,106,2025-11-19 20:57:40+00:00,0.03888888888888889,67.925,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00100000,call,True,100.0,64.25,66.2,65.15,167.3300018310547,3.345704760742187,0.0370259995532744,0.0,26.0,1523,2025-11-19 20:44:06+00:00,0.265,65.225,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00105000,call,True,105.0,59.7,60.9,59.82,167.3300018310547,2.792971767578125,0.0370259995532744,0.0,108.0,1346,2025-11-19 18:40:00+00:00,2.3333333333333335,60.3,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00110000,call,True,110.0,54.5,56.0,55.01,167.3300018310547,2.6386752783203127,0.0370259995532744,0.0,79.0,1619,2025-11-19 20:01:27+00:00,0.9758333333333333,55.25,0.0027397260273972603
2025-11-19 21:00:00+00:00,2025-11-21 00:00:00+00:00,PLTR,PLTR251121C00115000,call,True,115.0,49.25,51.1,49.25,167.3300018310547,2.4726600683593754,0.0370259995532744,0.0,6.0,1225,2025-11-19 18:22:36+00:00,2.6233333333333335,50.175,0.0027397260273972603
